Comparendos	Siniestros	Mes	Localidad
16959	2256	ENERO	.SUBA
18833	3075	FEBRERO	.KENNEDY
21713	2636	MARZO	.ENGATIVA
27727	2095	ABRIL	.FONTIBON
17654	800	MAYO	.SANTA_FE
15366	509	JUNIO	.ANTONIO_NARIÑO
10769	948	JULIO	.CIUDAD_BOLIVAR
13202	2775	AGOSTO	.USAQUEN
20213	1748	OCTUBRE	.PUENTE_ARANDA
12200	1485	NOVIEMBRE	.BARRIOS_UNIDOS
22821	884	DICIEMBRE	.LOS_MARTIRES
14455	686	ENERO	.TUNJUELITO
5430	0	FEBRERO	.Otro
317	0	MARZO	.SUMAPAZ
11505	514	ABRIL	.USME
9760	644	MAYO	.RAFAEL_URIBE
1	0	JUNIO	.SANTAFE
21751	1488	JULIO	.CHAPINERO
19777	1477	AGOSTO	.TEUSAQUILLO
10299	1182	SEPTIEMBRE	.BOSA
11402	566	OCTUBRE	.SAN_CRISTOBAL
8147	141	NOVIEMBRE	.CANDELARIA
